dataset_id	expected_file	local_expected_path	required_for_replication_analysis	required_for_raw_read_validation	status	notes
MAO_CENTRAL_CHINA_PD	license_or_access_terms	data/phase2e/processed_tables/mao_central_china_pd/license_or_access_terms.txt	yes	yes	unknown_pending_manual_check	required reuse verification
INTEGRATED_US_MULTICOHORT_PD	sample_metadata.tsv	data/phase2e/processed_tables/integrated_us_multicohort_pd/sample_metadata.tsv	yes	yes	unknown_pending_manual_check	required for cohort harmonization
INTEGRATED_US_MULTICOHORT_PD	species_abundance.tsv	data/phase2e/processed_tables/integrated_us_multicohort_pd/species_abundance.tsv	yes	no	unknown_pending_manual_check	primary processed-table replication input
INTEGRATED_US_MULTICOHORT_PD	genus_abundance.tsv	data/phase2e/processed_tables/integrated_us_multicohort_pd/genus_abundance.tsv	no	no	unknown_pending_manual_check	optional secondary ecological context
INTEGRATED_US_MULTICOHORT_PD	gene_family_abundance.tsv	data/phase2e/processed_tables/integrated_us_multicohort_pd/gene_family_abundance.tsv	no	no	unknown_pending_manual_check	optional functional context
INTEGRATED_US_MULTICOHORT_PD	pathway_abundance.tsv	data/phase2e/processed_tables/integrated_us_multicohort_pd/pathway_abundance.tsv	no	no	unknown_pending_manual_check	optional functional context
INTEGRATED_US_MULTICOHORT_PD	clinical_metadata.tsv	data/phase2e/processed_tables/integrated_us_multicohort_pd/clinical_metadata.tsv	no	no	unknown_pending_manual_check	used for adjusted/exploratory interpretation
INTEGRATED_US_MULTICOHORT_PD	run_accession_mapping.tsv	data/phase2e/processed_tables/integrated_us_multicohort_pd/run_accession_mapping.tsv	no	yes	unknown_pending_manual_check	required before raw-read validation
INTEGRATED_US_MULTICOHORT_PD	README_or_data_dictionary	data/phase2e/processed_tables/integrated_us_multicohort_pd/README_or_data_dictionary.txt	yes	no	unknown_pending_manual_check	required provenance/column interpretation
INTEGRATED_US_MULTICOHORT_PD	license_or_access_terms	data/phase2e/processed_tables/integrated_us_multicohort_pd/license_or_access_terms.txt	yes	yes	unknown_pending_manual_check	required reuse verification
